Year;Week;Week Ending;typecode;Commodity;CSX
2022;28;16.07.2022;01;Grain;3094
2022;28;16.07.2022;02;Farm Products (ex. Grain);105
2022;28;16.07.2022;03;Metallic ores;691
2022;28;16.07.2022;04;Coal;11665
2022;28;16.07.2022;05;Crushed Stone, Sand & Gravel;4729
2022;28;16.07.2022;06;Phosphate Rock;2289
2022;28;16.07.2022;07;Grain Mill Products;2086
2022;28;16.07.2022;08;Food Products;2094
2022;28;16.07.2022;09;Primary Forest Products;638
2022;28;16.07.2022;10;Lumber & Wood Products;1086
2022;28;16.07.2022;11;Pulp & Paper Products;3014
2022;28;16.07.2022;12;Chemicals;10384
2022;28;16.07.2022;13;Petroleum & Petroleum Products;2165
2022;28;16.07.2022;14;Stone, Clay & Glass Products;2735
2022;28;16.07.2022;15;Coke;1319
2022;28;16.07.2022;16;Primary Metal Products;2849
2022;28;16.07.2022;17;Automotive;5559
2022;28;16.07.2022;18;Iron & Steel Scrap;1468
2022;28;16.07.2022;19;Waste & Nonferrous Scrap;2800
2022;28;16.07.2022;20;All Other Carloads;981
2022;28;16.07.2022;C;Containers;56811
2022;28;16.07.2022;T;Trailers;1566
2022;27;9.07.2022;01;Grain;3208
2022;27;9.07.2022;02;Farm Products (ex. Grain);93
2022;27;9.07.2022;03;Metallic ores;741
2022;27;9.07.2022;04;Coal;10013
2022;27;9.07.2022;05;Crushed Stone, Sand & Gravel;4655
2022;27;9.07.2022;06;Phosphate Rock;2210
2022;27;9.07.2022;07;Grain Mill Products;1817
2022;27;9.07.2022;08;Food Products;2210
2022;27;9.07.2022;09;Primary Forest Products;616
2022;27;9.07.2022;10;Lumber & Wood Products;1160
2022;27;9.07.2022;11;Pulp & Paper Products;3256
2022;27;9.07.2022;12;Chemicals;10042
2022;27;9.07.2022;13;Petroleum & Petroleum Products;1891
2022;27;9.07.2022;14;Stone, Clay & Glass Products;2625
2022;27;9.07.2022;15;Coke;1202
2022;27;9.07.2022;16;Primary Metal Products;2628
2022;27;9.07.2022;17;Automotive;5496
2022;27;9.07.2022;18;Iron & Steel Scrap;1117
2022;27;9.07.2022;19;Waste & Nonferrous Scrap;2473
2022;27;9.07.2022;20;All Other Carloads;942
2022;27;9.07.2022;C;Containers;50873
2022;27;9.07.2022;T;Trailers;1411
2022;26;2.07.2022;01;Grain;3110
2022;26;2.07.2022;02;Farm Products (ex. Grain);101
2022;26;2.07.2022;03;Metallic ores;700
2022;26;2.07.2022;04;Coal;11166
2022;26;2.07.2022;05;Crushed Stone, Sand & Gravel;5063
2022;26;2.07.2022;06;Phosphate Rock;2338
2022;26;2.07.2022;07;Grain Mill Products;2109
2022;26;2.07.2022;08;Food Products;2133
2022;26;2.07.2022;09;Primary Forest Products;609
2022;26;2.07.2022;10;Lumber & Wood Products;1279
2022;26;2.07.2022;11;Pulp & Paper Products;3040
2022;26;2.07.2022;12;Chemicals;10269
2022;26;2.07.2022;13;Petroleum & Petroleum Products;2112
2022;26;2.07.2022;14;Stone, Clay & Glass Products;2512
2022;26;2.07.2022;15;Coke;882
2022;26;2.07.2022;16;Primary Metal Products;2874
2022;26;2.07.2022;17;Automotive;6301
2022;26;2.07.2022;18;Iron & Steel Scrap;1500
2022;26;2.07.2022;19;Waste & Nonferrous Scrap;2834
2022;26;2.07.2022;20;All Other Carloads;1055
2022;26;2.07.2022;C;Containers;56204
